YEAR,LOCATION,"REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $"
2008,ILLINOIS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","270,000","513,000",1.9,"55,404,000"
2008,ILLINOIS,YEAR,HAY,"ALL PRODUCTION PRACTICES","620,000","1,878,000",3.03,"256,059,000"
2008,INDIANA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","300,000","1,200,000",4,"196,800,000"
2008,INDIANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","590,000","1,867,000",3.16,"268,169,000"
2008,INDIANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","290,000","667,000",2.3,"71,369,000"
2008,IOWA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,150,000","4,370,000",3.8,"589,950,000"
2008,IOWA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","400,000","960,000",2.4,"88,320,000"
2008,IOWA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,550,000","5,330,000",3.44,"678,270,000"
2008,KANSAS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","700,000","2,870,000",4.1,"364,490,000"
2008,KANSAS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","2,050,000","3,895,000",1.9,"334,970,000"
2008,KANSAS,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,750,000","6,765,000",2.46,"699,460,000"
2008,KENTUCKY,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","2,400,000","4,560,000",1.9,"437,760,000"
2008,KENTUCKY,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,640,000","5,160,000",1.95,"543,360,000"
2008,KENTUCKY,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","240,000","600,000",2.5,"105,600,000"
2008,LOUISIANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","430,000","1,075,000",2.5,"93,525,000"
2008,LOUISIANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","430,000","1,075,000",2.5,"93,525,000"
2008,MAINE,YEAR,HAY,"ALL PRODUCTION PRACTICES","138,000","217,000",1.57,"38,685,000"
2008,MAINE,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","130,000","195,000",1.5,"33,735,000"
2008,MAINE,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","8,000","22,000",2.7,"4,950,000"
2008,MARYLAND,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","45,000","194,000",4.3,"33,368,000"
2008,MARYLAND,YEAR,HAY,"ALL PRODUCTION PRACTICES","205,000","626,000",3.05,"102,488,000"
2008,MARYLAND,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","160,000","432,000",2.7,"69,120,000"
2008,MASSACHUSETTS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","65,000","137,000",2.1,"29,455,000"
2008,MASSACHUSETTS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","8,000","17,000",2.1,"4,454,000"
2008,MASSACHUSETTS,YEAR,HAY,"ALL PRODUCTION PRACTICES","73,000","154,000",2.11,"33,909,000"
2008,MICHIGAN,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,020,000","2,633,000",2.58,"401,948,000"
2008,MICHIGAN,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","250,000","400,000",1.6,"53,600,000"
2008,MICHIGAN,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","770,000","2,233,000",2.9,"348,348,000"
2008,MINNESOTA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,350,000","4,185,000",3.1,"544,050,000"
2008,MINNESOTA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,950,000","5,265,000",2.7,"649,890,000"
2008,MINNESOTA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","600,000","1,080,000",1.8,"105,840,000"
2008,MISSISSIPPI,YEAR,HAY,"ALL PRODUCTION PRACTICES","720,000","1,944,000",2.7,"128,304,000"
2008,MISSISSIPPI,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","720,000","1,944,000",2.7,"128,304,000"
2008,MISSOURI,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","3,850,000","7,700,000",2,"654,500,000"
2008,MISSOURI,YEAR,HAY,"ALL PRODUCTION PRACTICES","4,200,000","8,820,000",2.1,"834,820,000"
2008,MISSOURI,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","350,000","1,120,000",3.2,"180,320,000"
2008,MONTANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,400,000","4,080,000",1.7,"471,120,000"
2008,MONTANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","800,000","1,040,000",1.3,"115,440,000"
2008,MONTANA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,600,000","3,040,000",1.9,"355,680,000"
2008,MONTANA,YEAR,"HAY IRRIGATED",IRRIGATED,"894,000","2,524,000",2.82," "
2008,MONTANA,YEAR,"HAY (EXCL ALFALFA) IRRIGATED",IRRIGATED,"299,000","565,000",1.9," "
2008,MONTANA,YEAR,"HAY ALFALFA IRRIGATED",IRRIGATED,"595,000","1,959,000",3.3," "
2008,MONTANA,YEAR,"HAY ALFALFA NON-IRRIGATED",NON-IRRIGATED,"1,005,000","1,081,000",1.1," "
2008,MONTANA,YEAR,"HAY (EXCL ALFALFA) NON-IRRIGATED",NON-IRRIGATED,"501,000","475,000",0.95," "
2008,MONTANA,YEAR,"HAY NON-IRRIGATED",NON-IRRIGATED,"1,506,000","1,556,000",1.03," "
2008,NEBRASKA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,600,000","2,400,000",1.5,"184,800,000"
2008,NEBRASKA,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,570,000","6,232,000",2.42,"537,344,000"
2008,NEBRASKA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","970,000","3,832,000",3.95,"352,544,000"
2008,NEBRASKA,YEAR,"HAY ALFALFA IRRIGATED",IRRIGATED,"340,000","1,660,000",4.9," "
2008,NEBRASKA,YEAR,"HAY ALFALFA NON-IRRIGATED",NON-IRRIGATED,"630,000","2,172,000",3.45," "
2008,NEVADA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","270,000","1,296,000",4.8,"243,648,000"
2008,NEVADA,YEAR,HAY,"ALL PRODUCTION PRACTICES","455,000","1,629,000",3.58,"301,590,000"
2008,NEVADA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","185,000","333,000",1.8,"57,942,000"
2008,"NEW HAMPSHIRE",YEAR,HAY,"ALL PRODUCTION PRACTICES","53,000","105,000",1.98,"22,435,000"
2008,"NEW HAMPSHIRE",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","48,000","91,000",1.9,"18,837,000"
2008,"NEW HAMPSHIRE",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","5,000","14,000",2.8,"3,598,000"
2008,"NEW JERSEY",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","20,000","58,000",2.9,"10,208,000"
2008,"NEW JERSEY",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","95,000","181,000",1.9,"24,435,000"
2008,"NEW JERSEY",YEAR,HAY,"ALL PRODUCTION PRACTICES","115,000","239,000",2.08,"34,643,000"
2008,"NEW MEXICO",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","90,000","216,000",2.4,"33,480,000"
2008,"NEW MEXICO",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","250,000","1,300,000",5.2,"247,000,000"
2008,"NEW MEXICO",YEAR,HAY,"ALL PRODUCTION PRACTICES","340,000","1,516,000",4.46,"280,480,000"
2008,"NEW YORK",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","970,000","1,746,000",1.8,"197,298,000"
2008,"NEW YORK",YEAR,HAY,"ALL PRODUCTION PRACTICES","1,320,000","2,691,000",2.04,"367,398,000"
2008,"NEW YORK",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","350,000","945,000",2.7,"170,100,000"
2008,"NORTH CAROLINA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","800,000","1,600,000",2,"158,400,000"
2008,"NORTH CAROLINA",YEAR,HAY,"ALL PRODUCTION PRACTICES","808,000","1,622,000",2.01,"162,910,000"
2008,"NORTH CAROLINA",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","8,000","22,000",2.7,"4,510,000"
2008,"NORTH DAKOTA",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,660,000","2,324,000",1.4,"197,540,000"
2008,"NORTH DAKOTA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,560,000","1,794,000",1.15,"109,434,000"
2008,"NORTH DAKOTA",YEAR,HAY,"ALL PRODUCTION PRACTICES","3,220,000","4,118,000",1.28,"306,974,000"
2008,OHIO,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","420,000","1,218,000",2.9,"255,780,000"
2008,OHIO,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","720,000","1,584,000",2.2,"150,480,000"
2008,OHIO,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,140,000","2,802,000",2.46,"406,260,000"
2008,OKLAHOMA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","2,600,000","4,420,000",1.7,"335,920,000"
2008,OKLAHOMA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","310,000","1,116,000",3.6,"167,400,000"
2008,OKLAHOMA,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,910,000","5,536,000",1.9,"503,320,000"
2008,OREGON,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","420,000","1,680,000",4,"332,640,000"
2008,OREGON,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,025,000","2,951,000",2.88,"581,756,000"
2008,OREGON,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","605,000","1,271,000",2.1,"249,116,000"
2008,PENNSYLVANIA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,750,000","3,810,000",2.18,"676,620,000"
2008,PENNSYLVANIA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","550,000","1,650,000",3,"326,700,000"
2008,PENNSYLVANIA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,200,000","2,160,000",1.8,"349,920,000"
2008,"RHODE ISLAND",YEAR,HAY,"ALL PRODUCTION PRACTICES","7,000","14,000",2,"3,145,000"
2008,"RHODE ISLAND",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","6,000","11,000",1.9,"2,365,000"
2008,"RHODE ISLAND",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,000","3,000",2.7,"780,000"
2008,"SOUTH CAROLINA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","330,000","627,000",1.9,"72,105,000"
2008,"SOUTH CAROLINA",YEAR,HAY,"ALL PRODUCTION PRACTICES","330,000","627,000",1.9,"72,105,000"
2008,"SOUTH DAKOTA",YEAR,HAY,"ALL PRODUCTION PRACTICES","3,850,000","7,840,000",2.04,"716,400,000"
2008,"SOUTH DAKOTA",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","2,400,000","5,520,000",2.3,"535,440,000"
2008,"SOUTH DAKOTA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,450,000","2,320,000",1.6,"180,960,000"
2008,TENNESSEE,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,850,000","3,885,000",2.1,"384,615,000"
2008,TENNESSEE,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,870,000","3,945,000",2.11,"397,635,000"
2008,TENNESSEE,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","20,000","60,000",3,"13,020,000"
2008,TEXAS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","4,300,000","8,600,000",2,"894,400,000"
2008,TEXAS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","130,000","611,000",4.7,"112,424,000"
2008,TEXAS,YEAR,HAY,"ALL PRODUCTION PRACTICES","4,430,000","9,211,000",2.08,"1,006,824,000"
2008,UTAH,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","145,000","319,000",2.2,"43,703,000"
2008,UTAH,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","550,000","2,310,000",4.2,"392,700,000"
2008,UTAH,YEAR,HAY,"ALL PRODUCTION PRACTICES","695,000","2,629,000",3.78,"436,403,000"
2008,VERMONT,YEAR,HAY,"ALL PRODUCTION PRACTICES","180,000","306,000",1.7,"52,122,000"
2008,VERMONT,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","30,000","51,000",1.7,"10,557,000"
2008,VERMONT,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","150,000","255,000",1.7,"41,565,000"
2008,VIRGINIA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","90,000","270,000",3,"48,600,000"
2008,VIRGINIA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,180,000","2,478,000",2.1,"351,876,000"
2008,VIRGINIA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,270,000","2,748,000",2.16,"400,476,000"
2008,WASHINGTON,YEAR,HAY,"ALL PRODUCTION PRACTICES","710,000","2,614,000",3.68,"581,302,000"
2008,WASHINGTON,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","410,000","1,804,000",4.4,"402,292,000"
2008,WASHINGTON,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","300,000","810,000",2.7,"179,010,000"
2008,"WEST VIRGINIA",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","25,000","73,000",2.9,"11,607,000"
2008,"WEST VIRGINIA",YEAR,HAY,"ALL PRODUCTION PRACTICES","605,000","1,117,000",1.85,"109,743,000"
2008,"WEST VIRGINIA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","580,000","1,044,000",1.8,"98,136,000"
2008,WISCONSIN,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,500,000","4,050,000",2.7,"457,650,000"
2008,WISCONSIN,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,900,000","4,810,000",2.53,"517,690,000"
2008,WISCONSIN,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","400,000","760,000",1.9,"60,040,000"
2008,WYOMING,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","500,000","700,000",1.4,"76,300,000"
2008,WYOMING,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,030,000","2,237,000",2.17,"253,055,000"
2008,WYOMING,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","530,000","1,537,000",2.9,"176,755,000"
2008,WYOMING,YEAR,"HAY ALFALFA IRRIGATED",IRRIGATED,"380,000","1,361,000",3.6," "
2008,WYOMING,YEAR,"HAY (EXCL ALFALFA) IRRIGATED",IRRIGATED,"395,000","604,000",1.55," "
2008,WYOMING,YEAR,"HAY IRRIGATED",IRRIGATED,"775,000","1,965,000",2.54," "
2008,WYOMING,YEAR,"HAY ALFALFA NON-IRRIGATED",NON-IRRIGATED,"150,000","176,000",1.15," "
2008,WYOMING,YEAR,"HAY NON-IRRIGATED",NON-IRRIGATED,"255,000","272,000",1.07," "
2008,WYOMING,YEAR,"HAY (EXCL ALFALFA) NON-IRRIGATED",NON-IRRIGATED,"105,000","96,000",0.9," "
2007,ALABAMA,YEAR,HAY,"ALL PRODUCTION PRACTICES","840,000","1,512,000",1.8,"146,664,000"
2007,ALABAMA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","840,000","1,512,000",1.8,"146,664,000"
2007,ALASKA,YEAR,HAY,"ALL PRODUCTION PRACTICES","23,000","31,000",1.35,"8,370,000"
2007,ARIZONA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","40,000","152,000",3.8,"20,824,000"
2007,ARIZONA,YEAR,HAY,"ALL PRODUCTION PRACTICES","295,000","2,192,000",7.43,"328,864,000"
2007,ARIZONA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","255,000","2,040,000",8,"308,040,000"
2007,ARKANSAS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","15,000","39,000",2.6,"7,566,000"
2007,ARKANSAS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,450,000","3,045,000",2.1,"274,050,000"
2007,ARKANSAS,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,465,000","3,084,000",2.11,"281,616,000"
2007,CALIFORNIA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,570,000","9,042,000",5.76,"1,405,800,000"
2007,CALIFORNIA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","990,000","7,128,000",7.2,"1,176,120,000"
2007,CALIFORNIA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","580,000","1,914,000",3.3,"229,680,000"
2007,COLORADO,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","750,000","1,425,000",1.9,"185,250,000"
2007,COLORADO,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","820,000","3,034,000",3.7,"421,726,000"
2007,COLORADO,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,570,000","4,459,000",2.84,"606,976,000"
2007,COLORADO,YEAR,"HAY (EXCL ALFALFA) IRRIGATED",IRRIGATED,"510,000","1,100,000",2.15," "
2007,COLORADO,YEAR,"HAY IRRIGATED",IRRIGATED,"1,210,000","3,990,000",3.3," "
2007,COLORADO,YEAR,"HAY ALFALFA IRRIGATED",IRRIGATED,"700,000","2,890,000",4.15," "
2007,COLORADO,YEAR,"HAY ALFALFA NON-IRRIGATED",NON-IRRIGATED,"120,000","144,000",1.2," "
2007,COLORADO,YEAR,"HAY (EXCL ALFALFA) NON-IRRIGATED",NON-IRRIGATED,"240,000","325,000",1.35," "
2007,COLORADO,YEAR,"HAY NON-IRRIGATED",NON-IRRIGATED,"360,000","469,000",1.3," "
2007,CONNECTICUT,YEAR,HAY,"ALL PRODUCTION PRACTICES","61,000","119,000",1.95,"22,501,000"
2007,CONNECTICUT,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","53,000","101,000",1.9,"18,685,000"
2007,CONNECTICUT,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","8,000","18,000",2.3,"3,816,000"
2007,DELAWARE,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","5,000","13,000",2.6,"2,808,000"
2007,DELAWARE,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","10,000","18,000",1.8,"3,834,000"
2007,DELAWARE,YEAR,HAY,"ALL PRODUCTION PRACTICES","15,000","31,000",2.07,"6,642,000"
2007,FLORIDA,YEAR,HAY,"ALL PRODUCTION PRACTICES","320,000","960,000",3,"111,360,000"
2007,FLORIDA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","320,000","960,000",3,"111,360,000"
2007,GEORGIA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","670,000","1,273,000",1.9,"101,840,000"
2007,GEORGIA,YEAR,HAY,"ALL PRODUCTION PRACTICES","670,000","1,273,000",1.9,"101,840,000"
2007,IDAHO,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,450,000","5,345,000",3.69,"752,995,000"
2007,IDAHO,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,150,000","4,715,000",4.1,"674,245,000"
2007,IDAHO,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","300,000","630,000",2.1,"78,750,000"
2007,IDAHO,YEAR,"HAY ALFALFA IRRIGATED",IRRIGATED,"930,000","4,455,000",4.79," "
2007,IDAHO,YEAR,"HAY ALFALFA NON-IRRIGATED",NON-IRRIGATED,"220,000","260,000",1.18," "
2007,ILLINOIS,YEAR,HAY,"ALL PRODUCTION PRACTICES","680,000","1,916,000",2.82,"245,152,000"
2007,ILLINOIS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","380,000","1,406,000",3.7,"192,622,000"
2007,ILLINOIS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","300,000","510,000",1.7,"52,530,000"
2007,INDIANA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","280,000","756,000",2.7,"130,032,000"
2007,INDIANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","330,000","660,000",2,"83,160,000"
2007,INDIANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","610,000","1,416,000",2.32,"213,192,000"
2007,IOWA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,060,000","4,240,000",4,"487,600,000"
2007,IOWA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,380,000","4,944,000",3.58,"547,440,000"
2007,IOWA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","320,000","704,000",2.2,"59,840,000"
2007,KANSAS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","800,000","2,960,000",3.7,"325,600,000"
2007,KANSAS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","2,100,000","3,570,000",1.7,"289,170,000"
2007,KANSAS,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,900,000","6,530,000",2.25,"614,770,000"
2007,KENTUCKY,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,680,000","4,104,000",1.53,"385,200,000"
2007,KENTUCKY,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","2,400,000","3,600,000",1.5,"309,600,000"
2007,KENTUCKY,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","280,000","504,000",1.8,"75,600,000"
2007,LOUISIANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","420,000","1,134,000",2.7,"89,586,000"
2007,LOUISIANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","420,000","1,134,000",2.7,"89,586,000"
2007,MAINE,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","135,000","243,000",1.8,"35,964,000"
2007,MAINE,YEAR,HAY,"ALL PRODUCTION PRACTICES","144,000","266,000",1.85,"40,196,000"
2007,MAINE,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","9,000","23,000",2.5,"4,232,000"
2007,MARYLAND,YEAR,HAY,"ALL PRODUCTION PRACTICES","215,000","470,000",2.19,"100,470,000"
2007,MARYLAND,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","175,000","350,000",2,"74,550,000"
2007,MARYLAND,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","40,000","120,000",3,"25,920,000"
2007,MASSACHUSETTS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","70,000","126,000",1.8,"22,806,000"
2007,MASSACHUSETTS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","9,000","22,000",2.4,"4,664,000"
2007,MASSACHUSETTS,YEAR,HAY,"ALL PRODUCTION PRACTICES","79,000","148,000",1.87,"27,470,000"
2007,MICHIGAN,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,050,000","2,429,000",2.31,"299,411,000"
2007,MICHIGAN,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","280,000","504,000",1.8,"54,936,000"
2007,MICHIGAN,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","770,000","1,925,000",2.5,"244,475,000"
2007,MINNESOTA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","700,000","1,050,000",1.5,"95,550,000"
2007,MINNESOTA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,800,000","4,240,000",2.36,"468,780,000"
2007,MINNESOTA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,100,000","3,190,000",2.9,"373,230,000"
2007,MISSISSIPPI,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","800,000","1,840,000",2.3,"119,600,000"
2007,MISSISSIPPI,YEAR,HAY,"ALL PRODUCTION PRACTICES","800,000","1,840,000",2.3,"119,600,000"
2007,MISSOURI,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","3,650,000","6,388,000",1.75,"568,532,000"
2007,MISSOURI,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","400,000","1,140,000",2.85,"177,840,000"
2007,MISSOURI,YEAR,HAY,"ALL PRODUCTION PRACTICES","4,050,000","7,528,000",1.86,"746,372,000"
2007,MONTANA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,700,000","3,740,000",2.2,"295,460,000"
2007,MONTANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,600,000","5,090,000",1.96,"400,760,000"
2007,MONTANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","900,000","1,350,000",1.5,"105,300,000"
2007,MONTANA,YEAR,"HAY (EXCL ALFALFA) IRRIGATED",IRRIGATED,"346,000","671,000",1.9," "
2007,MONTANA,YEAR,"HAY IRRIGATED",IRRIGATED,"1,048,000","2,979,000",2.84," "
2007,MONTANA,YEAR,"HAY ALFALFA IRRIGATED",IRRIGATED,"702,000","2,308,000",3.3," "
2007,MONTANA,YEAR,"HAY ALFALFA NON-IRRIGATED",NON-IRRIGATED,"998,000","1,432,000",1.4," "
2007,MONTANA,YEAR,"HAY NON-IRRIGATED",NON-IRRIGATED,"1,552,000","2,111,000",1.36," "
2007,MONTANA,YEAR,"HAY (EXCL ALFALFA) NON-IRRIGATED",NON-IRRIGATED,"554,000","679,000",1.2," "
2007,NEBRASKA,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,650,000","6,185,000",2.33,"532,455,000"
2007,NEBRASKA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,100,000","4,015,000",3.65,"365,365,000"
2007,NEBRASKA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,550,000","2,170,000",1.4,"167,090,000"
2007,NEBRASKA,YEAR,"HAY ALFALFA IRRIGATED",IRRIGATED,"395,000","1,815,000",4.59," "
2007,NEBRASKA,YEAR,"HAY ALFALFA NON-IRRIGATED",NON-IRRIGATED,"705,000","2,200,000",3.12," "
2007,NEVADA,YEAR,HAY,"ALL PRODUCTION PRACTICES","460,000","1,544,000",3.36,"227,108,000"
2007,NEVADA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","265,000","1,193,000",4.5,"176,564,000"
2007,NEVADA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","195,000","351,000",1.8,"50,544,000"
