YEAR,LOCATION,"REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $"
2013,MICHIGAN,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","610,000","1,830,000",3," "
2013,MICHIGAN,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","330,000","627,000",1.9," "
2013,MINNESOTA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,880,000"," "," "," "
2013,MINNESOTA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","930,000","2,790,000",3," "
2013,MINNESOTA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","950,000","1,710,000",1.8," "
2013,MISSISSIPPI,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","720,000","2,160,000",3," "
2013,MISSISSIPPI,YEAR,HAY,"ALL PRODUCTION PRACTICES","720,000"," "," "," "
2013,MISSOURI,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","3,250,000","7,150,000",2.2," "
2013,MISSOURI,YEAR,HAY,"ALL PRODUCTION PRACTICES","3,510,000"," "," "," "
2013,MISSOURI,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","260,000","806,000",3.1," "
2013,MONTANA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","850,000","1,530,000",1.8," "
2013,MONTANA,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,700,000"," "," "," "
2013,MONTANA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,850,000","4,070,000",2.2," "
2013,NEBRASKA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,900,000","2,090,000",1.1," "
2013,NEBRASKA,YEAR,HAY,"ALL PRODUCTION PRACTICES","2,600,000"," "," "," "
2013,NEBRASKA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","700,000","2,450,000",3.5," "
2013,NEVADA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","170,000"," "," "," "
2013,NEVADA,YEAR,HAY,"ALL PRODUCTION PRACTICES","420,000"," "," "," "
2013,NEVADA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","250,000","1,100,000",4.4," "
2013,"NEW HAMPSHIRE",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","5,000"," "," "," "
2013,"NEW HAMPSHIRE",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","45,000"," "," "," "
2013,"NEW HAMPSHIRE",YEAR,HAY,"ALL PRODUCTION PRACTICES","50,000"," "," "," "
2013,"NEW JERSEY",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","75,000"," "," "," "
2013,"NEW JERSEY",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","15,000"," "," "," "
2013,"NEW JERSEY",YEAR,HAY,"ALL PRODUCTION PRACTICES","90,000"," "," "," "
2013,"NEW MEXICO",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","60,000"," "," "," "
2013,"NEW MEXICO",YEAR,HAY,"ALL PRODUCTION PRACTICES","240,000"," "," "," "
2013,"NEW MEXICO",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","180,000","954,000",5.3," "
2013,"NEW YORK",YEAR,HAY,"ALL PRODUCTION PRACTICES","1,490,000"," "," "," "
2013,"NEW YORK",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","390,000","1,131,000",2.9," "
