YEAR,name,REFERENCE PERIOD,COMMODITY,PRODN PRACTICE,AREA HARVESTED in ACRES,tons-produced,dollars,price-per-ton,yield-tons-per-acre
1999,North Carolina,YEAR,HAY,ALL PRODUCTION PRACTICES,"710,000",1544000,118500000,76,2.17
1999,North Dakota,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,900,000",5511000,203471000,36,1.9
1999,Ohio,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,240,000",3000000,311400000,103,2.42
1999,Oklahoma,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,560,000",5000000,289060000,57,1.95
1999,Oregon,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,100,000",3208000,286208000,89,2.92
1999,Pennsylvania,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,900,000",3360000,440160000,131,1.77
1999,Rhode Island,YEAR,HAY,ALL PRODUCTION PRACTICES,"9,000",17000,2455000,144,1.89
1999,South Carolina,YEAR,HAY,ALL PRODUCTION PRACTICES,"300,000",630000,47250000,75,2.1
1999,South Dakota,YEAR,HAY,ALL PRODUCTION PRACTICES,"4,000,000",9440000,387360000,41,2.36
1999,Tennessee,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,880,000",3793000,199581000,52,2.02
1999,Texas,YEAR,HAY,ALL PRODUCTION PRACTICES,"5,340,000",12730000,849140000,66,2.38
1999,Utah,YEAR,HAY,ALL PRODUCTION PRACTICES,"710,000",2788000,190460000,68,3.93
1999,Vermont,YEAR,HAY,ALL PRODUCTION PRACTICES,"245,000",417000,43779000,104,1.7
1999,Virginia,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,270,000",2140000,191160000,89,1.69
1999,Washington,YEAR,HAY,ALL PRODUCTION PRACTICES,"740,000",3059000,307027000,100,4.13
1999,West Virginia,YEAR,HAY,ALL PRODUCTION PRACTICES,"580,000",794000,53120000,66,1.37
1999,Wisconsin,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,550,000",7410000,368220000,49,2.91
1999,Wyoming,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,290,000",2790000,179874000,64,2.16
1998,Alabama,YEAR,HAY,ALL PRODUCTION PRACTICES,"750,000",1575000,83475000,53,2.1
1998,Alaska,YEAR,HAY,ALL PRODUCTION PRACTICES,"22,000",23700,4740000,200,1.08
1998,Arizona,YEAR,HAY,ALL PRODUCTION PRACTICES,"240,000",1740000,154190000,88,7.25
1998,Arkansas,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,175,000",2250000,126245000,56,1.91
1998,California,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,630,000",8554000,789572000,92,5.25
1998,Colorado,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,410,000",4602000,430782000,93,3.26
1998,Connecticut,YEAR,HAY,ALL PRODUCTION PRACTICES,"63,000",128000,17180000,134,2.03
1998,Delaware,YEAR,HAY,ALL PRODUCTION PRACTICES,"16,000",55000,6517000,118,3.44
1998,Florida,YEAR,HAY,ALL PRODUCTION PRACTICES,"250,000",625000,71250000,114,2.5
1998,Georgia,YEAR,HAY,ALL PRODUCTION PRACTICES,"650,000",1495000,106145000,71,2.3
1998,Idaho,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,400,000",5420000,441480000,81,3.87
1998,Illinois,YEAR,HAY,ALL PRODUCTION PRACTICES,"930,000",3311000,275772000,83,3.56
1998,Indiana,YEAR,HAY,ALL PRODUCTION PRACTICES,"730,000",2608000,218902000,83,3.57
1998,Iowa,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,570,000",5332000,432836000,81,3.4
1998,Kansas,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,900,000",8020000,555860000,69,2.77
1998,Kentucky,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,350,000",5705000,450590000,78,2.43
1998,Louisiana,YEAR,HAY,ALL PRODUCTION PRACTICES,"330,000",726000,41382000,57,2.2
1998,Maine,YEAR,HAY,ALL PRODUCTION PRACTICES,"158,000",280000,31708000,113,1.77
1998,Maryland,YEAR,HAY,ALL PRODUCTION PRACTICES,"200,000",632000,74852000,118,3.16
1998,Massachusetts,YEAR,HAY,ALL PRODUCTION PRACTICES,"103,000",202000,28346000,140,1.96
1998,Michigan,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,250,000",3565000,306410000,85,2.85
1998,Minnesota,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,400,000",7110000,482040000,67,2.96
1998,Mississippi,YEAR,HAY,ALL PRODUCTION PRACTICES,"790,000",1738000,73865000,42,2.2
1998,Missouri,YEAR,HAY,ALL PRODUCTION PRACTICES,"3,900,000",8125000,548925000,67,2.08
1998,Montana,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,450,000",4940000,348020000,70,2.02
1998,Nebraska,YEAR,HAY,ALL PRODUCTION PRACTICES,"3,200,000",7680000,363150000,47,2.4
1998,Nevada,YEAR,HAY,ALL PRODUCTION PRACTICES,"485,000",1556000,156308000,100,3.21
1998,New Hampshire,YEAR,HAY,ALL PRODUCTION PRACTICES,"56,000",113000,16221000,143,2.02
1998,New Jersey,YEAR,HAY,ALL PRODUCTION PRACTICES,"120,000",237000,30318000,127,1.98
1998,New Mexico,YEAR,HAY,ALL PRODUCTION PRACTICES,"360,000",1548000,181827000,117,4.3
1998,New York,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,400,000",3110000,288830000,92,2.22
1998,North Carolina,YEAR,HAY,ALL PRODUCTION PRACTICES,"670,000",1486000,118596000,79,2.22
1998,North Dakota,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,600,000",4190000,206125000,49,1.61
1998,Ohio,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,160,000",3490000,331525000,94,3.01
1998,Oklahoma,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,250,000",3380000,237120000,70,1.5
1998,Oregon,YEAR,HAY,ALL PRODUCTION PRACTICES,"970,000",3374000,337698000,100,3.48
1998,Pennsylvania,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,850,000",3915000,456170000,116,2.12
1998,Rhode Island,YEAR,HAY,ALL PRODUCTION PRACTICES,"10,000",22000,3298000,149,2.2
1998,South Carolina,YEAR,HAY,ALL PRODUCTION PRACTICES,"320,000",640000,54400000,85,2
1998,South Dakota,YEAR,HAY,ALL PRODUCTION PRACTICES,"4,000,000",8160000,403200000,49,2.04
1998,Tennessee,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,785,000",3969000,221585000,55,2.22
1998,Texas,YEAR,HAY,ALL PRODUCTION PRACTICES,"4,040,000",6870000,564990000,82,1.7
